                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 4
Date & Time:     4/1/2019 12:00:20 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 4 ,N1034   , 123.5 ,126.69,13
 4 ,N1034   , 124 ,127.13,13
 4 ,N1034   , 124.5 ,127.75,13
 4 ,N1034   , 125 ,127.50,14
 4 ,N1034   , 125.5 ,128.33,16
 4 ,N1034   , 126 ,128.89,16
 4 ,N1034   , 126.5 ,129.26,15
 4 ,N1034   , 127 ,129.84,17
 4 ,N1034   , 127.5 ,130.23,17
 4 ,N1034   , 128 ,130.48,17
 4 ,N1034   , 128.5 ,130.66,18
 4 ,N1034   , 129 ,130.77,19
 4 ,N1034   , 129.5 ,131.51,18
 4 ,N1034   , 130 ,132.01,19
 4 ,N1034   , 130.5 ,132.01,19
 4 ,N1034   , 131 ,132.67,20
 4 ,N1034   , 131.5 ,132.78,24
 4 ,N1034   , 132 ,133.19,20
 4 ,N1034   , 132.5 ,133.79,21
 4 ,N1034   , 133 ,133.86,20
 4 ,N1034   , 133.5 ,134.24,22
 4 ,N1034   , 134 ,134.49,23
 4 ,N1034   , 134.5 ,135.00,23
 4 ,N1034   , 135 ,135.33,22
 4 ,N1034   , 135.5 ,135.55,23
 4 ,N1034   , 136 ,136.04,24
 4 ,N1034   , 136.5 ,136.69,26
 4 ,N1034   , 137 ,137.46,26
 4 ,N1034   , 137.5 ,138.31,26
 4 ,N1034   , 138 ,138.20,27
 4 ,N1034   , 138.5 ,138.14,25
 4 ,N1034   , 139 ,138.76,26
 4 ,N1034   , 139.5 ,139.17,25
 4 ,N1034   , 140 ,139.45,28
 4 ,N1034   , 140.5 ,139.97,27
 4 ,N1034   , 141 ,140.31,30
 4 ,N1034   , 141.5 ,140.87,28
 4 ,N1034   , 142 ,141.25,30
 4 ,N1034   , 142.5 ,141.83,28
 4 ,N1034   , 143 ,142.22,30
 4 ,N1034   , 143.5 ,142.48,30
 4 ,N1034   , 144 ,142.65,30
 4 ,N1034   , 144.5 ,143.10,30
 4 ,N1034   , 145 ,143.40,31
 4 ,N1034   , 145.5 ,143.60,30
 4 ,N1034   , 146 ,143.73,31
 4 ,N1034   , 146.5 ,143.82,31
 4 ,N1034   , 147 ,144.22,31
 4 ,N1034   , 147.5 ,144.48,32
 4 ,N1034   , 148 ,144.65,31
 4 ,N1034   , 148.5 ,145.43,34
 4 ,N1034   , 149 ,145.96,32
 4 ,N1034   , 149.5 ,145.97,32
 4 ,N1034   , 150 ,145.98,29
 4 ,N1034   , 150.5 ,146.32,33
 4 ,N1034   , 151 ,146.88,33
 4 ,N1034   , 151.5 ,147.59,33
 4 ,N1034   , 152 ,148.39,32
 4 ,N1034   , 152.5 ,148.59,30
 4 ,N1034   , 153 ,148.40,34
 4 ,N1034   , 153.5 ,148.93,32
 4 ,N1034   , 154 ,149.29,33
 4 ,N1034   , 154.5 ,149.52,31
 4 ,N1034   , 155 ,150.02,32
 4 ,N1034   , 155.5 ,150.34,34
 4 ,N1034   , 156 ,150.90,34
 4 ,N1034   , 156.5 ,151.26,33
 4 ,N1034   , 157 ,151.18,32
 4 ,N1034   , 157.5 ,151.78,34
 4 ,N1034   , 158 ,152.52,33
 4 ,N1034   , 158.5 ,153.35,32
 4 ,N1034   , 159 ,153.57,34
 4 ,N1034   , 159.5 ,153.71,33
 4 ,N1034   , 160 ,154.14,34
 4 ,N1034   , 160.5 ,154.76,33
 4 ,N1034   , 161 ,155.51,33
 4 ,N1034   , 161.5 ,155.00,34
 4 ,N1034   , 162 ,155.34,34
 4 ,N1034   , 162.5 ,155.56,36
 4 ,N1034   , 163 ,156.04,34
 4 ,N1034   , 163.5 ,156.36,36
 4 ,N1034   , 164 ,156.57,36
 4 ,N1034   , 164.5 ,157.05,36
 4 ,N1034   , 165 ,157.37,38
 4 ,N1034   , 165.5 ,157.58,37
