temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,
91.99000,1.86377,0.03144,1.78371,0.00000,0.00000,1.81515,1.86377,
92.33000,1.88191,0.03196,1.78452,0.00000,0.00000,1.81648,1.88191,
92.55000,1.88127,0.03230,1.78502,0.00000,0.00000,1.81731,1.88127,
93.04000,1.86158,0.03306,1.78604,0.00000,0.00000,1.81910,1.86158,
93.36000,1.82491,0.03356,1.78665,0.00000,0.00000,1.82021,1.82491,
94.57000,1.77660,0.03554,1.78851,0.00000,0.00000,1.82405,1.77660,
94.38000,1.72576,0.03522,1.78826,0.00000,0.00000,1.82348,1.72576,
94.92000,1.68250,0.03613,1.78892,0.00000,0.00000,1.82505,1.68250,
95.61000,1.65356,0.03731,1.78956,0.00000,0.00000,1.82688,1.65356,
96.08000,1.64023,0.03814,1.78987,0.00000,0.00000,1.82801,1.64023,
96.72000,1.63753,0.03930,1.79012,0.00000,0.00000,1.82942,1.63753,
96.81000,1.63455,0.03946,1.79014,0.00000,0.00000,1.82960,1.63455,
97.54000,1.61873,0.04082,1.79015,0.00000,0.00000,1.83097,1.61873,
97.69000,1.58377,0.04111,1.79012,0.00000,0.00000,1.83123,1.58377,
98.13000,1.53486,0.04195,1.78998,0.00000,0.00000,1.83193,1.53486,
97.75000,1.48660,0.04122,1.79011,0.00000,0.00000,1.83133,1.48660,
98.50000,1.45491,0.04267,1.78978,0.00000,0.00000,1.83246,1.45491,
98.67000,1.44905,0.04301,1.78967,0.00000,0.00000,1.83268,1.44905,
99.45000,1.46691,0.04458,1.78899,0.00000,0.00000,1.83357,1.46691,
99.96000,1.49609,0.04563,1.78838,0.00000,0.00000,1.83401,1.49609,
99.98000,1.52109,0.04567,1.78836,0.00000,0.00000,1.83403,1.52109,
100.65000,1.53273,0.04709,1.78737,0.00000,0.00000,1.83446,1.53273,
101.10000,1.53259,0.04806,1.78658,0.00000,0.00000,1.83464,1.53259,
101.73000,1.52905,0.04945,1.78532,0.00000,0.00000,1.83478,1.52905,
102.49000,1.52905,0.05118,1.78355,0.00000,0.00000,1.83473,1.52905,
102.66000,1.53295,0.05157,1.78311,0.00000,0.00000,1.83469,1.53295,
102.77000,1.53500,0.05183,1.78282,0.00000,0.00000,1.83465,1.53500,
103.52000,1.52823,0.05360,1.78070,0.00000,0.00000,1.83431,1.52823,
104.01000,1.51095,0.05479,1.77917,0.00000,0.00000,1.83397,1.51095,
102.67000,1.48905,0.05160,1.78309,0.00000,0.00000,1.83468,1.48905,
103.12000,1.47214,0.05265,1.78187,0.00000,0.00000,1.83452,1.47214,
104.41000,1.46764,0.05578,1.77784,0.00000,0.00000,1.83362,1.46764,
105.27000,1.47646,0.05795,1.77472,0.00000,0.00000,1.83267,1.47646,
105.18000,1.49332,0.05772,1.77506,0.00000,0.00000,1.83279,1.49332,
105.12000,1.51095,0.05757,1.77529,0.00000,0.00000,1.83286,1.51095,
106.08000,1.52432,0.06007,1.77146,0.00000,0.00000,1.83153,1.52432,
105.72000,1.53295,0.05912,1.77295,0.00000,0.00000,1.83207,1.53295,
106.48000,1.54009,0.06114,1.76973,0.00000,0.00000,1.83087,1.54009,
106.99000,1.54896,0.06253,1.76743,0.00000,0.00000,1.82995,1.54896,
107.32000,1.56073,0.06344,1.76587,0.00000,0.00000,1.82931,1.56073,
107.55000,1.57523,0.06408,1.76475,0.00000,0.00000,1.82884,1.57523,
107.70000,1.59155,0.06451,1.76401,0.00000,0.00000,1.82852,1.59155,
108.13000,1.60809,0.06573,1.76183,0.00000,0.00000,1.82756,1.60809,
108.09000,1.62286,0.06562,1.76204,0.00000,0.00000,1.82765,1.62286,
108.39000,1.63477,0.06648,1.76047,0.00000,0.00000,1.82695,1.63477,
108.60000,1.64523,0.06709,1.75935,0.00000,0.00000,1.82644,1.64523,
109.73000,1.65750,0.07047,1.75296,0.00000,0.00000,1.82342,1.65750,
110.15000,1.67455,0.07176,1.75043,0.00000,0.00000,1.82219,1.67455,
110.10000,1.69750,0.07160,1.75074,0.00000,0.00000,1.82234,1.69750,
110.73000,1.72450,0.07357,1.74681,0.00000,0.00000,1.82039,1.72450,
111.16000,1.75023,0.07495,1.74403,0.00000,0.00000,1.81898,1.75023,
111.44000,1.76823,0.07585,1.74218,0.00000,0.00000,1.81803,1.76823,
111.63000,1.77500,0.07647,1.74090,0.00000,0.00000,1.81737,1.77500,
112.42000,1.77222,0.07910,1.73540,0.00000,0.00000,1.81450,1.77222,
112.94000,1.76486,0.08087,1.73163,0.00000,0.00000,1.81250,1.76486,
113.30000,1.75741,0.08212,1.72895,0.00000,0.00000,1.81107,1.75741,
113.86000,1.75191,0.08409,1.72466,0.00000,0.00000,1.80875,1.75191,
113.91000,1.74781,0.08427,1.72427,0.00000,0.00000,1.80854,1.74781,
114.61000,1.74250,0.08680,1.71871,0.00000,0.00000,1.80551,1.74250,
115.07000,1.73241,0.08849,1.71494,0.00000,0.00000,1.80343,1.73241,
115.38000,1.71509,0.08965,1.71234,0.00000,0.00000,1.80199,1.71509,
115.92000,1.69031,0.09171,1.70772,0.00000,0.00000,1.79943,1.69031,
117.28000,1.66028,0.09705,1.69554,0.00000,0.00000,1.79259,1.66028,
117.19000,1.63005,0.09669,1.69637,0.00000,0.00000,1.79306,1.63005,
117.46000,1.60773,0.09778,1.69386,0.00000,0.00000,1.79165,1.60773,
117.31000,1.60227,0.09718,1.69526,0.00000,0.00000,1.79243,1.60227,
117.87000,1.61960,0.09946,1.69001,0.00000,0.00000,1.78946,1.61960,
118.25000,1.65955,0.10103,1.68637,0.00000,0.00000,1.78740,1.65955,
118.16000,1.71531,0.10066,1.68724,0.00000,0.00000,1.78789,1.71531,
119.11000,1.77500,0.10468,1.67792,0.00000,0.00000,1.78259,1.77500,
119.07000,1.82514,0.10451,1.67832,0.00000,0.00000,1.78282,1.82514,
119.38000,1.85554,0.10585,1.67520,0.00000,0.00000,1.78104,1.85554,
119.92000,1.86267,0.10821,1.66968,0.00000,0.00000,1.77789,1.86267,
119.95000,1.84977,0.10835,1.66937,0.00000,0.00000,1.77771,1.84977,
120.63000,1.82477,0.11140,1.66224,0.00000,0.00000,1.77364,1.82477,
121.09000,1.79759,0.11350,1.65731,0.00000,0.00000,1.77082,1.79759,
121.06000,1.77727,0.11337,1.65764,0.00000,0.00000,1.77100,1.77727,
121.71000,1.76983,0.11640,1.65054,0.00000,0.00000,1.76694,1.76983,
122.14000,1.77800,0.11844,1.64576,0.00000,0.00000,1.76420,1.77800,
122.42000,1.80286,0.11979,1.64261,0.00000,0.00000,1.76239,1.80286,
122.28000,1.84396,0.11911,1.64419,0.00000,0.00000,1.76330,1.84396,
122.19000,1.89750,0.11868,1.64520,0.00000,0.00000,1.76388,1.89750,
122.13000,1.95509,0.11839,1.64587,0.00000,0.00000,1.76426,1.95509,
123.08000,2.00413,0.12302,1.63505,0.00000,0.00000,1.75807,2.00413,
123.39000,2.03054,0.12456,1.63145,0.00000,0.00000,1.75601,2.03054,
123.59000,2.02340,0.12556,1.62911,0.00000,0.00000,1.75467,2.02340,
