                       Research (Cts/Temp.) Glow Curve,,,,
Sampling Rate is  10 Data Points per Second,,,,
,,,,
File Name:        R&D-061519-jeremy-differentdoses 4,,,,
Date & Time:     6/15/2019 6:03:04 PM,,,,
,,,,
Sample No.,Barcode,Time ( .1s),Temperature,
Counts,,,,
4,N1034   ,26.8,68.57,1
4,N1034   ,26.9,68.38,1
4,N1034   ,27,68.59,1
4,N1034   ,27.1,68.39,1
4,N1034   ,27.2,68.59,2
4,N1034   ,27.3,68.4,1
4,N1034   ,27.4,68.93,1
4,N1034   ,27.5,69.29,1
4,N1034   ,27.6,69.52,1
4,N1034   ,27.7,69.68,1
4,N1034   ,27.8,69.46,1
4,N1034   ,27.9,69.64,1
4,N1034   ,28,69.42,2
4,N1034   ,28.1,69.62,1
4,N1034   ,28.2,70.08,1
4,N1034   ,28.3,70.05,1
4,N1034   ,28.4,70.7,2
4,N1034   ,28.5,70.8,1
4,N1034   ,28.6,70.87,1
4,N1034   ,28.7,71.24,2
4,N1034   ,28.8,71.16,1
4,N1034   ,28.9,71.44,2
4,N1034   ,29,71.63,1
4,N1034   ,29.1,71.42,2
4,N1034   ,29.2,71.61,1
4,N1034   ,29.3,71.74,2
4,N1034   ,29.4,71.49,1
4,N1034   ,29.5,71.33,1
4,N1034   ,29.6,70.89,2
4,N1034   ,29.7,71.59,1
4,N1034   ,29.8,72.06,1
4,N1034   ,29.9,72.04,2
4,N1034   ,30,72.36,2
4,N1034   ,30.1,72.57,1
4,N1034   ,30.2,72.38,2
4,N1034   ,30.3,72.25,1
4,N1034   ,30.4,72.5,1
4,N1034   ,30.5,73,2
4,N1034   ,30.6,73.33,1
4,N1034   ,30.7,73.56,2
4,N1034   ,30.8,73.37,1
4,N1034   ,30.9,73.58,2
4,N1034   ,31,73.72,2
4,N1034   ,31.1,73.81,2
4,N1034   ,31.2,73.88,2
4,N1034   ,31.3,74.25,2
4,N1034   ,31.4,74.17,1
4,N1034   ,31.5,73.78,2
4,N1034   ,31.6,73.85,2
4,N1034   ,31.7,73.9,2
4,N1034   ,31.8,73.93,2
4,N1034   ,31.9,73.96,1
4,N1034   ,32,74.3,2
4,N1034   ,32.1,74.54,2
4,N1034   ,32.2,74.69,2
4,N1034   ,32.3,74.79,2
4,N1034   ,32.4,75.2,2
4,N1034   ,32.5,75.13,2
4,N1034   ,32.6,75.09,2
4,N1034   ,32.7,75.72,2
4,N1034   ,32.8,76.15,2
4,N1034   ,32.9,76.77,2
4,N1034   ,33,76.84,2
4,N1034   ,33.1,76.56,2
4,N1034   ,33.2,76.71,3
4,N1034   ,33.3,76.81,2
4,N1034   ,33.4,76.87,2
4,N1034   ,33.5,76.91,2
4,N1034   ,33.6,76.94,2
4,N1034   ,33.7,77.29,2
4,N1034   ,33.8,77.2,3
4,N1034   ,33.9,77.13,3
4,N1034   ,34,77.09,2
4,N1034   ,34.1,77.06,2
4,N1034   ,34.2,77.04,2
4,N1034   ,34.3,77.03,3
4,N1034   ,34.4,77.02,2
4,N1034   ,34.5,78.01,3
4,N1034   ,34.6,78.01,2
4,N1034   ,34.7,78.01,2
4,N1034   ,34.8,78.34,3
4,N1034   ,34.9,78.22,3
4,N1034   ,35,78.48,3
4,N1034   ,35.1,78.32,3
4,N1034   ,35.2,78.88,3
4,N1034   ,35.3,79.25,2
4,N1034   ,35.4,79.17,3
4,N1034   ,35.5,79.11,3
4,N1034   ,35.6,78.74,3
4,N1034   ,35.7,79.16,2
4,N1034   ,35.8,79.44,3
4,N1034   ,35.9,79.63,3
4,N1034   ,36,79.42,3
4,N1034   ,36.1,79.61,3
4,N1034   ,36.2,79.74,4
4,N1034   ,36.3,80.16,4
4,N1034   ,36.4,80.11,3
4,N1034   ,36.5,80.07,4
4,N1034   ,36.6,80.71,3
4,N1034   ,36.7,81.14,3
4,N1034   ,36.8,81.43,3
4,N1034   ,36.9,81.62,3
4,N1034   ,37,81.41,4
4,N1034   ,37.1,81.28,3
4,N1034   ,37.2,81.52,3
4,N1034   ,37.3,81.68,3
4,N1034   ,37.4,81.79,4
4,N1034   ,37.5,81.86,5
4,N1034   ,37.6,82.24,3
4,N1034   ,37.7,82.49,3
4,N1034   ,37.8,82.33,5
4,N1034   ,37.9,82.55,4
4,N1034   ,38,82.37,3
