temp,count_original,count_0,
101,24.00000,0.00050,
102,24.00000,0.00059,
102,24.00000,0.00059,
102,25.00000,0.00059,
102,24.00000,0.00059,
102,25.00000,0.00059,
102,25.00000,0.00059,
102,25.00000,0.00059,
102,25.00000,0.00059,
102,26.00000,0.00059,
102,25.00000,0.00059,
102,26.00000,0.00059,
102,26.00000,0.00059,
103,26.00000,0.00070,
103,26.00000,0.00070,
103,26.00000,0.00070,
103,26.00000,0.00070,
103,26.00000,0.00070,
103,26.00000,0.00070,
103,27.00000,0.00070,
103,26.00000,0.00070,
104,27.00000,0.00082,
103,27.00000,0.00070,
104,27.00000,0.00082,
103,28.00000,0.00070,
104,27.00000,0.00082,
104,27.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
104,28.00000,0.00082,
105,29.00000,0.00096,
105,29.00000,0.00096,
105,29.00000,0.00096,
105,29.00000,0.00096,
105,29.00000,0.00096,
105,30.00000,0.00096,
105,30.00000,0.00096,
105,30.00000,0.00096,
105,30.00000,0.00096,
105,29.00000,0.00096,
105,30.00000,0.00096,
105,30.00000,0.00096,
105,30.00000,0.00096,
106,30.00000,0.00113,
106,30.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
106,31.00000,0.00113,
107,32.00000,0.00133,
106,32.00000,0.00113,
107,31.00000,0.00133,
107,31.00000,0.00133,
107,31.00000,0.00133,
107,31.00000,0.00133,
107,32.00000,0.00133,
107,33.00000,0.00133,
108,33.00000,0.00156,
108,32.00000,0.00156,
108,33.00000,0.00156,
108,32.00000,0.00156,
108,32.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,32.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
108,33.00000,0.00156,
109,33.00000,0.00183,
109,33.00000,0.00183,
109,32.00000,0.00183,
109,33.00000,0.00183,
109,33.00000,0.00183,
110,33.00000,0.00214,
110,34.00000,0.00214,
109,34.00000,0.00183,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,33.00000,0.00214,
110,33.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
110,34.00000,0.00214,
111,34.00000,0.00250,
111,34.00000,0.00250,
111,34.00000,0.00250,
111,34.00000,0.00250,
111,34.00000,0.00250,
111,34.00000,0.00250,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,35.00000,0.00293,
112,34.00000,0.00293,
112,35.00000,0.00293,
112,35.00000,0.00293,
112,35.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
112,34.00000,0.00293,
111,34.00000,0.00250,
112,34.00000,0.00293,
112,33.00000,0.00293,
112,33.00000,0.00293,
113,33.00000,0.00342,
113,33.00000,0.00342,
113,33.00000,0.00342,
113,33.00000,0.00342,
113,33.00000,0.00342,
113,33.00000,0.00342,
113,33.00000,0.00342,
113,32.00000,0.00342,
113,32.00000,0.00342,
113,32.00000,0.00342,
113,32.00000,0.00342,
113,33.00000,0.00342,
114,32.00000,0.00399,
114,32.00000,0.00399,
113,33.00000,0.00342,
114,32.00000,0.00399,
114,33.00000,0.00399,
114,32.00000,0.00399,
114,33.00000,0.00399,
114,32.00000,0.00399,
114,32.00000,0.00399,
114,32.00000,0.00399,
114,31.00000,0.00399,
114,31.00000,0.00399,
115,31.00000,0.00465,
115,31.00000,0.00465,
115,30.00000,0.00465,
114,31.00000,0.00399,
115,31.00000,0.00465,
115,30.00000,0.00465,
115,31.00000,0.00465,
115,31.00000,0.00465,
115,30.00000,0.00465,
115,30.00000,0.00465,
115,30.00000,0.00465,
115,30.00000,0.00465,
115,29.00000,0.00465,
115,29.00000,0.00465,
116,29.00000,0.00542,
116,29.00000,0.00542,
116,29.00000,0.00542,
116,29.00000,0.00542,
116,29.00000,0.00542,
115,29.00000,0.00465,
116,29.00000,0.00542,
116,28.00000,0.00542,
116,28.00000,0.00542,
116,28.00000,0.00542,
117,28.00000,0.00631,
117,28.00000,0.00631,
117,28.00000,0.00631,
117,28.00000,0.00631,
118,27.00000,0.00734,
117,28.00000,0.00631,
118,28.00000,0.00734,
117,27.00000,0.00631,
