temp,count_original,count_0,count_1,
85,1.00000,0.00000,nan,
85,1.00000,0.00000,nan,
84,1.00000,0.00000,nan,
85,1.00000,0.00000,nan,
84,1.00000,0.00000,nan,
84,1.00000,0.00000,nan,
85,1.00000,0.00000,nan,
85,1.00000,0.00000,nan,
84,1.00000,0.00000,nan,
84,2.00000,0.00000,nan,
84,1.00000,0.00000,nan,
84,2.00000,0.00000,nan,
84,2.00000,0.00000,nan,
84,2.00000,0.00000,nan,
85,2.00000,0.00000,nan,
85,2.00000,0.00000,nan,
85,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
87,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
86,2.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
86,3.00000,0.00000,nan,
86,3.00000,0.00000,nan,
87,3.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
88,4.00000,0.00000,nan,
88,4.00000,0.00000,nan,
88,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
87,4.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,6.00000,0.00000,nan,
88,5.00000,0.00000,nan,
88,6.00000,0.00000,nan,
88,6.00000,0.00000,nan,
88,5.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,7.00000,0.00000,nan,
89,6.00000,0.00000,nan,
89,7.00000,0.00000,nan,
89,7.00000,0.00000,nan,
89,7.00000,0.00000,nan,
89,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
90,7.00000,0.00000,nan,
91,8.00000,0.00000,nan,
90,7.00000,0.00000,nan,
91,8.00000,0.00000,nan,
91,8.00000,0.00000,nan,
90,8.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,9.00000,0.00000,nan,
91,10.00000,0.00000,nan,
92,10.00000,0.00000,nan,
92,10.00000,0.00000,nan,
92,10.00000,0.00000,nan,
93,10.00000,0.00000,nan,
93,10.00000,0.00000,nan,
93,10.00000,0.00000,nan,
93,11.00000,0.00000,nan,
93,11.00000,0.00000,nan,
93,11.00000,0.00000,nan,
91,11.00000,0.00000,nan,
92,11.00000,0.00000,nan,
92,11.00000,0.00000,nan,
92,11.00000,0.00000,nan,
92,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,12.00000,0.00000,nan,
93,13.00000,0.00000,nan,
94,12.00000,0.00000,nan,
93,13.00000,0.00000,nan,
94,13.00000,0.00000,nan,
93,13.00000,0.00000,nan,
93,13.00000,0.00000,nan,
94,13.00000,0.00000,nan,
94,13.00000,0.00000,nan,
93,13.00000,0.00000,nan,
