barcode,temp,Count
N1103   ,79.55,2.192864745084375
N1103   ,80.03,2.1669098300562495
N1103   ,80.69,2.132811529493744
N1103   ,81.13,2.1066844051968756
N1103   ,81.75,2.0985081306187547
N1103   ,81.83,2.1083155948031225
N1103   ,82.22,2.1284549150281245
N1103   ,82.48,2.1498277907312557
N1103   ,82.65,2.1688196601125003
N1103   ,82.77,2.190225424859373
N1103   ,83.18,2.223368810393753
N1103   ,84.12,2.2744098300562494
N1103   ,84.41,2.340450849718747
N1103   ,84.61,2.410139320225001
N1103   ,85.41,2.470364745084375
N1103   ,85.6,2.513401699437494
N1103   ,85.74,2.539860679774997
N1103   ,86.49,2.5570491502812525
N1103   ,86.66,2.574635254915624
N1103   ,86.77,2.6005901699437493
N1103   ,87.18,2.6394630456468806
N1103   ,87.45,2.6924138953656276
N1103   ,87.64,2.7583155948031224
N1103   ,88.09,2.834184405196876
N1103   ,88.73,2.9144098300562495
N1103   ,89.48,2.99126644452187
N1103   ,89.99,3.057499999999999
N1103   ,90.33,3.109774575140625
N1103   ,90.55,3.1517705098312483
N1103   ,90.7,3.1939589803375026
N1103   ,92.13,3.2489589803375023
N1103   ,92.09,3.325590169943749
N1103   ,92.06,3.4239589803375026
N1103   ,92.71,3.5347745751406254
N1103   ,92.47,3.644495934690621
N1103   ,92.65,3.7426393202250012
N1103   ,93.1,3.827274575140626
N1103   ,93.4,3.90567627457812
N1103   ,93.93,3.988454915028124
N1103   ,94.29,4.081684405196875
N1103   ,94.53,4.182950849718745
N1103   ,95.35,4.282360679774996
N1103   ,95.23,4.3680901699437475
N1103   ,95.49,4.433315594803121
N1103   ,95.99,4.48022542485937
N1103   ,96.66,4.520139320225
N1103   ,97.11,4.570053215590628
N1103   ,97.07,4.6455040653093755
N1103   ,97.38,4.751631189606244
N1103   ,97.92,4.877725424859372
N1103   ,98.28,5.000139320224999
N1103   ,98.85,5.093627124296867
N1103   ,98.9,5.14444271909999
N1103   ,98.93,5.158143385534379
N1103   ,99.29,5.158508130618753
N1103   ,99.86,5.176856614465619
N1103   ,100.57,5.236094235253125
N1103   ,101.05,5.340020326546886
N1103   ,101.37,5.47637287570313
N1103   ,101.24,5.628541019662496
N1103   ,102.16,5.784774575140624
N1103   ,102.44,5.940278640450003
N1103   ,102.63,6.095225424859373
N1103   ,103.42,6.25199593469062
N1103   ,103.61,6.413004065309376
N1103   ,104.07,6.580053215590629
N1103   ,104.72,6.754999999999998
N1103   ,104.81,6.939495934690619
N1103   ,105.21,7.132274575140624
N1103   ,105.8,7.327274575140624
N1103   ,105.54,7.515311529493743
N1103   ,105.36,7.687811529493741
N1103   ,105.91,7.839270509831246
N1103   ,106.27,7.967082039324991
N1103   ,107.51,8.07076237921249
N1103   ,107.68,8.152274575140623
N1103   ,108.12,8.216909830056249
N1103   ,108.41,8.273401699437489
N1103   ,108.27,8.331684405196873
N1103   ,109.18,8.398004065309376
N1103   ,109.79,8.471127124296864
N1103   ,109.86,8.54272542485937
N1103   ,110.57,8.60218847050625
N1103   ,110.72,8.643766444521868
N1103   ,111.48,8.66958203932499
N1103   ,111.65,8.686319660112497
N1103   ,111.77,8.69963525491562
N1103   ,112.18,8.70958203932499
N1103   ,112.45,8.709721359549993
N1103   ,112.3,8.691319660112496
