                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4-2 2
Date & Time:     3/30/2019 2:20:52 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 2 ,N1124   , 133 ,133.62,25
 2 ,N1124   , 133.5 ,134.08,26
 2 ,N1124   , 134 ,134.05,26
 2 ,N1124   , 134.5 ,134.04,26
 2 ,N1124   , 135 ,134.69,25
 2 ,N1124   , 135.5 ,135.13,26
 2 ,N1124   , 136 ,136.08,27
 2 ,N1124   , 136.5 ,136.39,27
 2 ,N1124   , 137 ,136.59,28
 2 ,N1124   , 137.5 ,136.73,30
 2 ,N1124   , 138 ,137.49,27
 2 ,N1124   , 138.5 ,137.32,29
 2 ,N1124   , 139 ,137.88,30
 2 ,N1124   , 139.5 ,137.92,29
 2 ,N1124   , 140 ,138.61,32
 2 ,N1124   , 140.5 ,139.08,31
 2 ,N1124   , 141 ,139.38,31
 2 ,N1124   , 141.5 ,140.26,32
 2 ,N1124   , 142 ,140.50,31
 2 ,N1124   , 142.5 ,140.67,31
 2 ,N1124   , 143 ,140.78,29
 2 ,N1124   , 143.5 ,140.85,34
 2 ,N1124   , 144 ,140.90,33
 2 ,N1124   , 144.5 ,141.27,34
 2 ,N1124   , 145 ,141.85,34
 2 ,N1124   , 145.5 ,141.90,32
 2 ,N1124   , 146 ,142.93,33
 2 ,N1124   , 146.5 ,142.95,34
 2 ,N1124   , 147 ,143.64,32
 2 ,N1124   , 147.5 ,143.76,32
 2 ,N1124   , 148 ,144.17,34
 2 ,N1124   , 148.5 ,144.11,33
 2 ,N1124   , 149 ,145.08,34
 2 ,N1124   , 149.5 ,145.72,32
 2 ,N1124   , 150 ,146.15,34
 2 ,N1124   , 150.5 ,146.10,32
 2 ,N1124   , 151 ,146.73,30
 2 ,N1124   , 151.5 ,147.49,33
 2 ,N1124   , 152 ,148.32,31
 2 ,N1124   , 152.5 ,148.88,31
 2 ,N1124   , 153 ,148.92,32
 2 ,N1124   , 153.5 ,148.61,32
 2 ,N1124   , 154 ,149.08,32
 2 ,N1124   , 154.5 ,149.38,32
 2 ,N1124   , 155 ,149.59,34
 2 ,N1124   , 155.5 ,150.39,31
 2 ,N1124   , 156 ,150.93,35
 2 ,N1124   , 156.5 ,151.29,33
 2 ,N1124   , 157 ,151.86,33
 2 ,N1124   , 157.5 ,151.90,33
 2 ,N1124   , 158 ,151.94,34
 2 ,N1124   , 158.5 ,152.62,31
 2 ,N1124   , 159 ,152.42,35
 2 ,N1124   , 159.5 ,152.94,35
 2 ,N1124   , 160 ,153.63,35
 2 ,N1124   , 160.5 ,153.75,37
 2 ,N1124   , 161 ,154.17,35
 2 ,N1124   , 161.5 ,154.45,36
 2 ,N1124   , 162 ,154.63,35
 2 ,N1124   , 162.5 ,155.42,37
 2 ,N1124   , 163 ,155.28,36
 2 ,N1124   , 163.5 ,155.85,37
 2 ,N1124   , 164 ,156.24,38
 2 ,N1124   , 164.5 ,157.16,38
 2 ,N1124   , 165 ,157.44,41
 2 ,N1124   , 165.5 ,157.96,41
 2 ,N1124   , 166 ,158.31,40
 2 ,N1124   , 166.5 ,158.20,43
 2 ,N1124   , 167 ,158.14,42
 2 ,N1124   , 167.5 ,158.76,45
 2 ,N1124   , 168 ,159.17,44
 2 ,N1124   , 168.5 ,159.45,46
 2 ,N1124   , 169 ,159.63,50
 2 ,N1124   , 169.5 ,160.09,47
 2 ,N1124   , 170 ,160.73,50
 2 ,N1124   , 170.5 ,161.15,53
 2 ,N1124   , 171 ,161.10,53
 2 ,N1124   , 171.5 ,161.73,52
 2 ,N1124   , 172 ,162.49,56
 2 ,N1124   , 172.5 ,162.66,53
 2 ,N1124   , 173 ,163.11,59
 2 ,N1124   , 173.5 ,163.40,57
 2 ,N1124   , 174 ,163.94,60
 2 ,N1124   , 174.5 ,164.29,64
 2 ,N1124   , 175 ,164.53,66
 2 ,N1124   , 175.5 ,164.02,67
 2 ,N1124   , 176 ,164.68,67
 2 ,N1124   , 176.5 ,165.12,67
 2 ,N1124   , 177 ,165.75,71
 2 ,N1124   , 177.5 ,166.16,71
